Match ID,Innings Number,From Over,To Over,Powerplay Type
1136595,2,0.1,5.6,mandatory
1473485,1,0.1,5.7,mandatory
1473485,2,0.1,5.6,mandatory
1178395,1,0.1,5.7,mandatory
1178395,2,0.1,5.6,mandatory
1216526,1,0.1,5.6,mandatory
1216526,2,0.1,5.6,mandatory
733989,1,0.1,5.6,mandatory
733989,2,0.1,5.6,mandatory
548309,1,0.1,5.6,mandatory
548309,2,0.1,5.6,mandatory
598011,1,0.1,5.6,mandatory
598011,2,0.1,5.6,mandatory
419121,1,0.1,5.6,mandatory
419121,2,0.1,5.7,mandatory
1082641,1,0.1,5.6,mandatory
1082641,2,0.1,5.6,mandatory
501223,1,0.1,5.7,mandatory
501223,2,0.1,5.6,mandatory
501254,1,0.1,5.7,mandatory
501254,2,0.1,5.6,mandatory
1082636,1,0.1,5.7,mandatory
1082636,2,0.1,5.6,mandatory
419156,1,0.1,5.6,mandatory
419156,2,0.1,5.7,mandatory
598066,1,0.1,5.6,mandatory
598066,2,0.1,5.6,mandatory
734041,1,0.1,5.6,mandatory
734041,2,0.1,5.6,mandatory
1426282,1,0.1,5.6,mandatory
1426282,2,0.1,5.6,mandatory
501203,1,0.1,5.6,mandatory
501203,2,0.1,5.6,mandatory
829773,1,0.1,5.6,mandatory
829773,2,0.1,5.6,mandatory
1216506,1,0.1,5.6,mandatory
1216506,2,0.1,5.6,mandatory
548329,1,0.1,5.6,mandatory
548329,2,0.1,5.6,mandatory
598031,1,0.1,5.6,mandatory
598031,2,0.1,5.6,mandatory
1529307,1,0.1,5.6,mandatory
1529307,2,0.1,5.6,mandatory
1178423,1,0.1,5.6,mandatory
1178423,2,0.1,5.6,mandatory
335985,1,0.1,5.6,mandatory
335985,2,0.1,5.6,mandatory
1304065,1,0.1,5.6,mandatory
1304065,2,0.1,5.6,mandatory
980915,1,0.1,5.6,mandatory
980915,2,0.1,5.6,mandatory
501215,1,0.1,5.7,mandatory
501215,2,0.1,4.6,mandatory
419117,1,0.1,5.6,mandatory
419117,2,0.1,5.6,mandatory
598027,1,0.1,5.7,mandatory
598027,2,0.1,5.6,mandatory
1216510,1,0.1,5.8,mandatory
1216510,2,0.1,5.8,mandatory
829765,1,0.1,5.6,mandatory
829765,2,0.1,5.6,mandatory
1529311,1,0.1,5.7,mandatory
1529311,2,0.1,5.7,mandatory
980903,1,0.1,5.6,mandatory
980903,2,0.1,5.6,mandatory
335993,1,0.1,5.6,mandatory
335993,2,0.1,5.6,mandatory
1304073,1,0.1,5.6,mandatory
1304073,2,0.1,5.6,mandatory
419140,1,0.1,5.6,mandatory
419140,2,0.1,5.6,mandatory
336038,1,0.1,5.6,mandatory
336038,2,0.1,5.6,mandatory
1082620,1,0.1,5.6,mandatory
1082620,2,0.1,5.6,mandatory
501242,1,0.1,5.6,mandatory
501242,2,0.1,5.6,mandatory
1216547,1,0.1,5.7,mandatory
1216547,2,0.1,5.6,mandatory
548368,1,0.1,5.6,mandatory
548368,2,0.1,5.6,mandatory
598070,1,0.1,5.6,mandatory
598070,2,0.1,5.6,mandatory
1254108,1,0.1,5.6,mandatory
1254108,2,0.1,5.7,mandatory
1426294,1,0.1,5.6,mandatory
1426294,2,0.1,5.6,mandatory
829749,1,0.1,5.6,mandatory
829749,2,0.1,5.6,mandatory
981001,1,0.1,5.7,mandatory
981001,2,0.1,5.7,mandatory
733993,1,0.1,5.6,mandatory
733993,2,0.1,1.8,mandatory
548313,1,0.1,5.6,mandatory
548313,2,0.1,5.6,mandatory
1216496,1,0.1,5.6,mandatory
1216496,2,0.1,5.6,mandatory
1473470,1,0.1,5.6,mandatory
1473470,2,0.1,5.6,mandatory
501239,1,0.1,5.7,mandatory
501239,2,0.1,5.6,mandatory
1178419,1,0.1,5.6,mandatory
1178419,2,0.1,5.6,mandatory
1529278,1,0.1,5.6,mandatory
1529278,2,0.1,5.6,mandatory
1529297,1,0.1,5.6,mandatory
1529297,2,0.1,5.6,mandatory
548344,1,0.1,5.6,mandatory
548344,2,0.1,5.6,mandatory
336014,1,0.1,5.6,mandatory
336014,2,0.1,5.9,mandatory
829821,1,0.1,5.6,mandatory
829821,2,0.1,5.6,mandatory
1426312,1,0.1,5.7,mandatory
1426312,2,0.1,5.6,mandatory
392221,1,0.1,5.6,mandatory
392221,2,0.1,5.6,mandatory
1359531,1,0.1,5.6,mandatory
1359531,2,0.1,5.6,mandatory
1254061,1,0.1,5.6,mandatory
1254061,2,0.1,5.6,mandatory
980997,1,0.1,5.6,mandatory
980997,2,0.1,5.7,mandatory
548352,1,0.1,5.7,mandatory
548352,2,0.1,5.6,mandatory
336002,1,0.1,5.6,mandatory
336002,2,0.1,5.6,mandatory
1254098,1,0.1,5.6,mandatory
1254098,2,0.1,5.6,mandatory
1527677,1,0.1,5.6,mandatory
1527677,2,0.1,5.6,mandatory
1136608,1,0.1,5.6,mandatory
1136608,2,0.1,5.6,mandatory
980981,1,0.1,5.6,mandatory
980981,2,0.1,5.6,mandatory
1254077,1,0.1,5.6,mandatory
1254077,2,0.1,5.6,mandatory
1359527,1,0.1,5.6,mandatory
1359527,2,0.1,5.6,mandatory
392237,1,0.1,5.6,mandatory
392237,2,0.1,5.7,mandatory
733985,1,0.1,5.6,mandatory
733985,2,0.1,5.6,mandatory
1178399,1,0.1,5.6,mandatory
1178399,2,0.1,5.6,mandatory
1473489,1,0.1,5.6,mandatory
1473489,2,0.1,5.6,mandatory
981017,1,0.1,5.6,mandatory
981017,2,0.1,5.6,mandatory
1136599,1,0.1,5.6,mandatory
1136599,2,0.1,5.6,mandatory
1136576,1,0.1,5.6,mandatory
1136576,2,0.1,5.6,mandatory
1473466,1,0.1,5.7,mandatory
1473466,2,0.1,5.6,mandatory
