Player ID,Player Name
2e0fcc58,AG Wharf
6a26221c,AK Markram
8e514b4c,Abdul Samad
f29185a1,Abhishek Sharma
244048f6,Arshdeep Singh
84d9c311,Ashutosh Sharma
2e81a32d,B Kumar
235c2bb6,H Klaasen
f986ca1a,HV Patel
c05edf8e,Harpreet Brar
1e66c162,JD Unadkat
abb83e27,JM Bairstow
800d2d97,JM Sharma
e62dd25d,K Rabada
e6ef687d,NA Patwardhan
a3e3d8a4,Navdeep Singh
aad0c365,Nithish Kumar Reddy
9418198b,P Simran Singh
ded9240e,PJ Cummins
0dcc9a8c,PM Joshi
77255a9e,RA Tripathi
0a476045,S Dhawan
e94915e6,SM Curran
f9e6e7ef,Shahbaz Ahmed
26989d80,Shashank Singh
26d041c4,Sikandar Raza
ce794613,T Natarajan
12b610c2,TM Head
4bacee3d,V Narayan Kutty
c109497d,A Bengeri
bbd41817,AD Russell
29e95537,AM Rahane
70d205c9,AT Rayudu
b483905d,Akash Singh
5b7ab5a9,CV Varun
aa8d28ae,D Wiese
df5a6881,DP Conway
d1c36f5c,JJ Roy
fa2f1dde,K Khejroliya
64839cb3,M Pathirana
f24c6701,M Theekshana
bb351c23,MM Ali
4a8a2e3b,MS Dhoni
bd54eef5,N Jagadeesan
fb2d1dda,N Rana
e1d41d9e,Nitin Menon
fe93fd9d,RA Jadeja
45a43fe2,RD Gaikwad
0a509d6b,RK Singh
a4e37e47,S Dube
9d430b40,SP Narine
eb90d319,Shakti Singh
9440ef41,Suyash Sharma
46a9bea1,TU Deshpande
b9aa2b6e,Tapan Sharma
cc1e8c68,UT Yadav
a7a49df4,VK Sharma
a24be938,VR Iyer
5b040b81,A Singh
883e3818,AM Saheba
c69a7b5c,AS Raut
cb4b3ab0,GAV Baxter
72861603,GC Smith
323e4c16,HDPK Dharmasena
bad31fac,J Srinath
c3d35165,JA Morkel
3eac9d95,JDP Oram
bda8cca8,KH Hurter
b2b50355,L Balaji
d872f52a,LA Carseldine
4ba44e19,M Muralitharan
4b57e452,M Vijay
d8699ab7,ML Hayden
890946a0,NV Ojha
3576e47e,S Badrinath
c24a2c5d,S Tyagi
ae091d39,SA Asnodkar
c8179c68,SB Jakati
