Match ID,Team Name,Player ID,Player Name
335985,Mumbai Indians,0fa5042b,L Ronchi
335985,Mumbai Indians,f233bbb4,ST Jayasuriya
335985,Mumbai Indians,7d3937ed,DJ Thornely
335985,Mumbai Indians,1c17e270,RV Uthappa
335985,Mumbai Indians,0aadc906,PR Shah
335985,Mumbai Indians,a45a5e8d,AM Nayar
335985,Mumbai Indians,88fccd6c,SM Pollock
335985,Mumbai Indians,8b5b6769,Harbhajan Singh
335985,Mumbai Indians,0d232ffd,MA Khote
335985,Mumbai Indians,96fd40ae,A Nehra
335985,Mumbai Indians,d2a989fc,DS Kulkarni
335985,Royal Challengers Bangalore,881a9bdd,S Chanderpaul
335985,Royal Challengers Bangalore,0184dc35,R Dravid
335985,Royal Challengers Bangalore,b61a3e1a,LRPL Taylor
335985,Royal Challengers Bangalore,86dc8f2e,JH Kallis
335985,Royal Challengers Bangalore,ba607b88,V Kohli
335985,Royal Challengers Bangalore,f3cb53a1,MV Boucher
335985,Royal Challengers Bangalore,af7dadf7,B Akhil
335985,Royal Challengers Bangalore,e938e1bc,P Kumar
335985,Royal Challengers Bangalore,91a4a398,Z Khan
335985,Royal Challengers Bangalore,670709ec,SB Joshi
335985,Royal Challengers Bangalore,41eb4a4f,R Vinay Kumar
335988,Deccan Chargers,2b6e6dec,AC Gilchrist
335988,Deccan Chargers,fe763256,Y Venugopal Rao
335988,Deccan Chargers,de8cce37,VVS Laxman
335988,Deccan Chargers,bd77eb62,A Symonds
335988,Deccan Chargers,740742ef,RG Sharma
335988,Deccan Chargers,0dc00542,Shahid Afridi
335988,Deccan Chargers,0604ef16,SB Bangar
335988,Deccan Chargers,b9be6507,AS Yadav
335988,Deccan Chargers,bcce309e,WPUJC Vaas
335988,Deccan Chargers,c3d1402f,RP Singh
335988,Deccan Chargers,6c6591ab,PP Ojha
335988,Delhi Daredevils,bb345e0b,G Gambhir
335988,Delhi Daredevils,8ba8195d,V Sehwag
335988,Delhi Daredevils,0a476045,S Dhawan
335988,Delhi Daredevils,64c34cd0,Shoaib Malik
335988,Delhi Daredevils,c03f1114,KD Karthik
335988,Delhi Daredevils,26e5cabf,MK Tiwary
335988,Delhi Daredevils,33a364a6,R Bhatia
335988,Delhi Daredevils,ab89348d,MF Maharoof
335988,Delhi Daredevils,e03b66ec,Mohammad Asif
335988,Delhi Daredevils,93a17209,VY Mahesh
335988,Delhi Daredevils,ee7d0c82,GD McGrath
335982,Kolkata Knight Riders,725529bc,SC Ganguly
335982,Kolkata Knight Riders,b8a55852,BB McCullum
335982,Kolkata Knight Riders,7d415ea5,RT Ponting
335982,Kolkata Knight Riders,fd835ab3,DJ Hussey
335982,Kolkata Knight Riders,9ab63e7b,Mohammad Hafeez
335982,Kolkata Knight Riders,b1451597,LR Shukla
335982,Kolkata Knight Riders,fe11caa6,WP Saha
335982,Kolkata Knight Riders,fa463154,AB Agarkar
335982,Kolkata Knight Riders,66b30f71,AB Dinda
335982,Kolkata Knight Riders,abfeb126,M Kartik
335982,Kolkata Knight Riders,5bb1a1c4,I Sharma
335982,Royal Challengers Bangalore,0184dc35,R Dravid
335982,Royal Challengers Bangalore,619aa81f,W Jaffer
335982,Royal Challengers Bangalore,ba607b88,V Kohli
335982,Royal Challengers Bangalore,86dc8f2e,JH Kallis
335982,Royal Challengers Bangalore,d0513f63,CL White
335982,Royal Challengers Bangalore,f3cb53a1,MV Boucher
335982,Royal Challengers Bangalore,af7dadf7,B Akhil
335982,Royal Challengers Bangalore,b69e69ed,AA Noffke
335982,Royal Challengers Bangalore,e938e1bc,P Kumar
335982,Royal Challengers Bangalore,91a4a398,Z Khan
335982,Royal Challengers Bangalore,670709ec,SB Joshi
335987,Kings XI Punjab,a1f1829d,K Goel
335987,Kings XI Punjab,2498e163,JR Hopes
335987,Kings XI Punjab,6b71e6cf,KC Sangakkara
335987,Kings XI Punjab,d18f9182,DPMD Jayawardene
335987,Kings XI Punjab,1c914163,Yuvraj Singh
335987,Kings XI Punjab,5fa06777,IK Pathan
335987,Kings XI Punjab,3fca55af,S Sohal
335987,Kings XI Punjab,dd09ff8e,B Lee
335987,Kings XI Punjab,98ae73b1,PP Chawla
335987,Kings XI Punjab,3dba85c2,WA Mota
335987,Kings XI Punjab,6b8eb6e5,S Sreesanth
335987,Rajasthan Royals,d84378a4,M Kaif
335987,Rajasthan Royals,ff077124,Kamran Akmal
335987,Rajasthan Royals,3c6ffae8,YK Pathan
335987,Rajasthan Royals,4329fbb5,SR Watson
335987,Rajasthan Royals,53fe6ee4,DS Lehmann
335987,Rajasthan Royals,fe93fd9d,RA Jadeja
335987,Rajasthan Royals,e32d22f6,Pankaj Singh
335987,Rajasthan Royals,0264c10e,D Salunkhe
335987,Rajasthan Royals,bb18be76,SK Warne
335987,Rajasthan Royals,3d7e087f,SK Trivedi
335987,Rajasthan Royals,f0f628c7,MM Patel
335986,Deccan Chargers,2b6e6dec,AC Gilchrist
335986,Deccan Chargers,fe763256,Y Venugopal Rao
335986,Deccan Chargers,de8cce37,VVS Laxman
335986,Deccan Chargers,bd77eb62,A Symonds
335986,Deccan Chargers,740742ef,RG Sharma
335986,Deccan Chargers,57efa3be,SB Styris
335986,Deccan Chargers,b9be6507,AS Yadav
335986,Deccan Chargers,0604ef16,SB Bangar
335986,Deccan Chargers,bcce309e,WPUJC Vaas
335986,Deccan Chargers,c3d1402f,RP Singh
335986,Deccan Chargers,6c6591ab,PP Ojha
335986,Kolkata Knight Riders,fe11caa6,WP Saha
335986,Kolkata Knight Riders,b8a55852,BB McCullum
335986,Kolkata Knight Riders,7d415ea5,RT Ponting
335986,Kolkata Knight Riders,725529bc,SC Ganguly
335986,Kolkata Knight Riders,fd835ab3,DJ Hussey
335986,Kolkata Knight Riders,9ab63e7b,Mohammad Hafeez
335986,Kolkata Knight Riders,b1451597,LR Shukla
335986,Kolkata Knight Riders,fa463154,AB Agarkar
335986,Kolkata Knight Riders,66b30f71,AB Dinda
335986,Kolkata Knight Riders,abfeb126,M Kartik
335986,Kolkata Knight Riders,5bb1a1c4,I Sharma
